Symbol,Crawl_Price,Price,Date_Start,Date_End
B4P,1,1,17/01/2022,23/08/2023
BAP,1,1,24/04/2014,23/08/2023
BAS,1,1,30/09/2004,23/08/2023
BAT,1,1,29/10/2012,23/08/2023
BBC,1,1,22/05/2012,23/08/2023
BBL,1,1,04/01/2000,23/08/2023
BBN,1,1,14/10/2015,23/08/2023
BBT,1,1,02/07/2021,23/08/2023
BBX,1,1,12/08/2005,23/08/2023
BC8,1,1,30/01/2018,23/08/2023
BCA,1,1,29/09/2005,23/08/2023
BCB,1,1,04/01/2000,23/08/2023
BCC,1,1,04/01/2000,22/08/2023
BCI,1,1,15/12/2006,23/08/2023
BCK,1,1,11/01/2011,23/08/2023
BCN,1,1,20/10/2006,23/08/2023
BCT,1,1,09/06/2011,23/08/2023
BDG,1,1,29/08/2018,16/08/2023
BDM,1,1,04/01/2013,23/08/2023
BDT,1,1,29/12/2021,22/08/2023
BDX,1,1,21/07/2021,23/08/2023
BEE,0,0,,
BEL,1,1,04/01/2000,23/08/2023
BEN,1,1,04/01/2000,23/08/2023
BET,1,1,11/12/2015,23/08/2023
BEX,1,1,09/02/2021,22/08/2023
BEZ,1,1,05/02/2010,23/08/2023
BFC,1,1,28/08/2015,23/08/2023
BFG,1,1,12/12/2007,23/08/2023
BFL,1,1,16/07/2021,23/08/2023
BGA,1,1,19/08/2011,23/08/2023
BGD,1,1,28/06/2021,23/08/2023
BGE,1,1,06/10/2022,21/08/2023
BGL,1,1,20/12/2005,23/08/2023
BGP,1,1,25/07/2017,23/08/2023
BGT,1,1,29/11/2017,18/08/2023
BHD,1,1,25/06/2020,21/08/2023
BHP,1,1,04/01/2000,23/08/2023
BIM,1,1,28/06/2022,23/08/2023
BIO,1,1,30/11/2021,23/08/2023
BIR,1,1,31/07/2006,23/08/2023
BIS,1,1,23/06/2003,23/08/2023
BIT,1,1,24/01/2001,23/08/2023
BKG,1,1,03/12/2020,23/08/2023
BKI,1,1,12/12/2003,23/08/2023
BKT,1,1,10/12/2003,23/08/2023
BKW,1,1,04/01/2000,23/08/2023
BKY,1,1,16/09/2003,23/08/2023
BLD,1,1,21/02/2000,23/08/2023
BLG,1,1,22/09/2006,23/08/2023
BLU,1,1,06/01/2000,23/08/2023
BLX,1,1,15/04/2014,23/08/2023
BLY,1,1,05/04/2007,14/08/2023
BLZ,1,1,01/03/2000,23/08/2023
BM8,1,1,04/11/2020,21/08/2023
BME,1,1,29/12/2021,09/08/2023
BMG,1,1,12/05/2004,23/08/2023
BMH,1,1,19/06/2015,01/08/2023
BML,1,1,15/07/2004,23/08/2023
BMM,1,1,14/07/2021,21/08/2023
BMN,1,1,28/04/2005,23/08/2023
BMO,1,1,29/09/2005,23/08/2023
BMR,1,1,03/09/2021,23/08/2023
BMT,1,1,06/06/2019,23/08/2023
BNL,1,1,04/01/2000,23/08/2023
BNO,0,0,,
BNR,1,1,20/12/2010,23/08/2023
BNZ,1,1,23/12/2020,23/08/2023
BOA,1,1,11/10/2012,21/08/2023
BOC,1,1,04/01/2000,22/08/2023
BOD,1,1,27/10/2016,23/08/2023
BOE,1,1,25/07/2007,23/08/2023
BOL,1,1,14/10/2003,23/08/2023
BOQ,1,1,04/01/2000,23/08/2023
BOT,1,1,04/01/2000,23/08/2023
BP8,1,1,30/03/2023,22/08/2023
BPH,1,1,02/10/2007,23/08/2023
BPM,1,1,30/12/2020,23/08/2023
BPP,1,1,10/01/2018,23/08/2023
BPT,1,1,04/01/2000,23/08/2023
BRG,1,1,04/01/2000,23/08/2023
BRI,1,1,01/05/2017,23/08/2023
BRK,1,1,31/10/2005,23/08/2023
BRL,1,1,19/12/2007,23/08/2023
BRN,1,1,09/11/2011,23/08/2023
BRU,1,1,01/09/2008,23/08/2023
BRX,1,1,28/01/2022,23/08/2023
BSA,1,1,04/01/2000,23/08/2023
BSE,1,1,02/10/2008,23/08/2023
BSL,1,1,15/07/2002,23/08/2023
BSN,1,1,04/10/2022,23/08/2023
BSX,1,1,23/01/2017,23/08/2023
BTC,1,1,29/08/2000,16/08/2023
BTE,1,1,15/07/2022,23/08/2023
BTH,1,1,24/03/2017,23/08/2023
BTI,1,1,21/11/2014,23/08/2023
BTN,1,1,06/07/2021,23/08/2023
BTR,1,1,05/12/2003,23/08/2023
BUB,1,1,04/01/2000,23/08/2023
BUD,0,0,,
BUR,1,1,07/07/2021,23/08/2023
BUS,1,1,13/10/2022,22/08/2023
BUX,1,1,23/10/2007,23/08/2023
BUY,1,1,05/02/2002,23/08/2023
BVR,1,1,25/05/2022,22/08/2023
BVS,1,1,16/11/2016,23/08/2023
BWF,1,1,21/10/2011,21/08/2023
BWP,1,1,04/01/2000,23/08/2023
BWX,1,1,11/11/2015,23/03/2023
BXB,1,1,02/01/2001,23/08/2023
BXN,1,1,14/12/2000,22/08/2023
BYE,1,1,03/06/2005,23/08/2023
BYH,1,1,17/10/2017,23/08/2023
C1X,1,1,01/12/2021,23/08/2023
C29,1,1,03/11/2021,23/08/2023
C79,1,1,06/05/2022,23/08/2023
C7A,1,1,21/10/2010,22/08/2023
CAA,1,1,04/01/2000,23/08/2023
CAE,1,1,20/05/2005,23/08/2023
CAF,1,1,25/06/2002,23/08/2023
CAG,1,1,30/11/2017,09/08/2023
CAI,1,1,04/01/2000,23/08/2023
CAJ,1,1,09/06/2006,23/08/2023
CAM,1,1,03/02/2004,23/08/2023
CAN,1,1,04/05/2017,23/08/2023
CAQ,1,1,25/07/2005,06/07/2023
CAR,1,1,10/09/2009,23/08/2023
CAT,1,1,19/12/2014,23/08/2023
CAV,1,1,15/03/2007,23/08/2023
CAY,1,1,15/06/2010,23/08/2023
CAZ,1,1,31/10/2003,23/08/2023
CBA,1,1,04/01/2000,23/08/2023
CBE,1,1,31/01/2020,23/08/2023
CBH,1,1,28/07/2022,23/08/2023
CBL,1,1,07/12/2020,21/08/2023
CBO,1,1,11/08/2021,23/08/2023
CBR,1,1,29/11/2019,23/08/2023
CBY,1,1,07/03/2019,14/08/2023
CCA,1,1,30/06/2016,22/08/2023
CCE,1,1,04/01/2000,23/08/2023
CCG,1,1,21/12/2017,23/08/2023
CCO,1,1,20/12/2018,23/08/2023
CCP,1,1,04/09/2000,23/08/2023
CCR,1,1,27/10/2020,23/08/2023
CCV,1,1,04/01/2000,23/08/2023
CCX,1,1,04/01/2000,23/08/2023
CCZ,1,1,14/12/2010,23/08/2023
CD1,1,1,22/08/2012,23/08/2023
CD2,1,1,09/04/2013,23/08/2023
CD3,1,1,27/07/2016,23/08/2023
CDA,1,1,27/11/2003,23/08/2023
CDD,1,1,20/05/2004,23/08/2023
